	ISU_CD	ISU_SRT_CD	ISU_NM	ISU_ABBRV	ISU_ENG_NM	LIST_DD	MKT_TP_NM	SECUGRP_NM	SECT_TP_NM	KIND_STKCERT_TP_NM	PARVAL	LIST_SHRS	KOSPI200
0	KR7095570008	095570	AJ네트웍스보통주	AJ네트웍스	AJ Networks Co.,Ltd.	20150821	KOSPI	주권	-	보통주	1000	45252759	
1	KR7006840003	006840	AK홀딩스보통주	AK홀딩스	AK Holdings, Inc.	19990811	KOSPI	주권	-	보통주	5000	13247561	
2	KR7282330000	282330	BGF리테일보통주	BGF리테일	BGF Retail	20171208	KOSPI	주권	-	보통주	1000	17283906	1.0
3	KR7027410000	027410	BGF보통주	BGF	BGF	20140519	KOSPI	주권	-	보통주	1000	95716791	
4	KR7138930003	138930	BNK금융지주보통주	BNK금융지주	BNK Financial Group Inc.	20110330	KOSPI	주권	-	보통주	5000	314425154	1.0
5	KR7001461003	001465	BYC1우선주	BYC우	BYC(1P)	19890905	KOSPI	주권	-	구형우선주	500	2153850	
6	KR7001460005	001460	BYC보통주	BYC	BYC	19750602	KOSPI	주권	-	보통주	500	6246150	
7	KR7001041003	001045	CJ1우선주	CJ우	CJ(1P)	19890818	KOSPI	주권	-	구형우선주	5000	2260223	
8	KR700104K010	00104K	CJ4우선주(전환)	CJ4우(전환)	CJ(4PC)	20190809	KOSPI	주권	-	신형우선주	5000	4226512	
9	KR7001040005	001040	CJ보통주	CJ	CJ Corp.	19730629	KOSPI	주권	-	보통주	5000	29176998	1.0
10	KR7011151008	011155	CJ씨푸드1우선주	CJ씨푸드1우	CJSEAFOODCORPORATION(1P)	19900113	KOSPI	주권	-	구형우선주	500	200000	
11	KR7011150000	011150	CJ씨푸드보통주	CJ씨푸드	CJSEAFOODCORPORATION	19881126	KOSPI	주권	-	보통주	500	35930773	
12	KR7000590000	000590	CS홀딩스보통주	CS홀딩스	CSHOLDINGS	19751222	KOSPI	주권	-	보통주	5000	1154482	
13	KR7012030003	012030	DB Inc.보통주	DB	DB Inc.	19930106	KOSPI	주권	-	보통주	500	201173933	
14	KR7005830005	005830	DB손해보험보통주	DB손해보험	DB INSURANCE	19730628	KOSPI	주권	-	보통주	500	70800000	1.0
15	KR7016610008	016610	DB증권보통주	DB증권	DB Securities	19880627	KOSPI	주권	-	보통주	5000	42446389	
16	KR7000990002	000990	DB하이텍보통주	DB하이텍	DB HiTek Co.,LTD	19751212	KOSPI	주권	-	보통주	5000	43504588	1.0
17	KR7001530005	001530	DI동일보통주	DI동일	DI DONGIL	19640104	KOSPI	주권	-	보통주	500	19729280	
18	KR7000211003	000215	DL1우선주	DL우	DL(1P)	19890821	KOSPI	주권	-	구형우선주	5000	1686115	
19	KR7000210005	000210	DL보통주	DL	DL	19760202	KOSPI	주권	-	보통주	5000	20955884	
20	KR737550K011	37550K	DL이앤씨1우선주	DL이앤씨우	DL E&C CO., LTD.(1P)	20210125	KOSPI	주권	-	종류주권	5000	2113885	
